epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,24634.8,0.96394,0.20073,0.90988,0.88554,0.75083,0.83874,0.50826,1.57024,0.29056,1.17067,0.0006436,0.0006436,0.0006436
74,24971.7,0.9568,0.1984,0.90687,0.88771,0.75065,0.83956,0.50918,1.56982,0.29031,1.17116,0.00063865,0.00063865,0.00063865
75,25307.6,0.95327,0.19775,0.90745,0.88537,0.75171,0.83935,0.50969,1.5695,0.29003,1.17172,0.0006337,0.0006337,0.0006337
76,25643.7,0.9442,0.19569,0.90593,0.88645,0.75324,0.83991,0.51001,1.56915,0.28965,1.17235,0.00062875,0.00062875,0.00062875
77,25980.7,0.94105,0.1945,0.90242,0.8872,0.75112,0.83988,0.5108,1.56962,0.2894,1.17336,0.0006238,0.0006238,0.0006238
78,26317.6,0.93227,0.19396,0.90268,0.88528,0.75315,0.83985,0.51114,1.56947,0.28899,1.17442,0.00061885,0.00061885,0.00061885
79,26654,0.92691,0.19178,0.90024,0.88631,0.7539,0.84073,0.51156,1.56925,0.28844,1.17539,0.0006139,0.0006139,0.0006139
80,26991.6,0.92037,0.19112,0.89942,0.88482,0.75502,0.8414,0.51204,1.56856,0.28838,1.17589,0.00060895,0.00060895,0.00060895
81,27328,0.91556,0.18929,0.89531,0.88492,0.75641,0.84145,0.51257,1.56934,0.28817,1.17727,0.000604,0.000604,0.000604
82,27664.7,0.90981,0.18905,0.89598,0.88468,0.75655,0.84203,0.51336,1.56903,0.28773,1.17825,0.00059905,0.00059905,0.00059905
83,28001.7,0.90763,0.18842,0.89531,0.88465,0.75767,0.84258,0.5137,1.56881,0.28761,1.1788,0.0005941,0.0005941,0.0005941
84,28338,0.89645,0.18593,0.89234,0.88195,0.75711,0.84211,0.5141,1.56929,0.28719,1.17989,0.00058915,0.00058915,0.00058915
85,28674.7,0.89105,0.18499,0.88991,0.88361,0.75864,0.84307,0.51433,1.56919,0.28682,1.18073,0.0005842,0.0005842,0.0005842
86,355.346,0.9919,0.21262,0.92338,0.88297,0.75962,0.84275,0.51386,1.57092,0.28746,1.18197,0.00057925,0.00057925,0.00057925
87,689.76,0.97624,0.20604,0.91546,0.88209,0.76146,0.84302,0.51347,1.57153,0.28791,1.18286,0.0005743,0.0005743,0.0005743
88,1023.76,0.97202,0.20384,0.91349,0.88216,0.76102,0.84312,0.51318,1.57227,0.28824,1.18348,0.00056935,0.00056935,0.00056935
89,1358.71,0.96889,0.20212,0.91188,0.88264,0.76028,0.84283,0.51315,1.57221,0.28835,1.18394,0.0005644,0.0005644,0.0005644
90,1693.4,0.95311,0.20026,0.90841,0.87791,0.76199,0.84169,0.513,1.57172,0.28859,1.18414,0.00055945,0.00055945,0.00055945
91,2027.26,0.95508,0.19918,0.9089,0.87973,0.76227,0.84217,0.51346,1.57116,0.28819,1.18455,0.0005545,0.0005545,0.0005545
92,2362.96,0.94155,0.19705,0.90554,0.87817,0.76255,0.84244,0.51347,1.5709,0.28835,1.18525,0.00054955,0.00054955,0.00054955
93,2698.55,0.93795,0.19626,0.9055,0.8776,0.7638,0.84327,0.51351,1.57101,0.28807,1.18618,0.0005446,0.0005446,0.0005446
94,3033.55,0.93344,0.19467,0.90338,0.87596,0.76464,0.84238,0.51337,1.57051,0.28805,1.18694,0.00053965,0.00053965,0.00053965
95,3368.07,0.93459,0.19473,0.90125,0.87537,0.76506,0.84211,0.51341,1.57061,0.28785,1.18771,0.0005347,0.0005347,0.0005347
96,3703.37,0.91772,0.19053,0.89697,0.87636,0.76352,0.84184,0.51354,1.57024,0.28766,1.18816,0.00052975,0.00052975,0.00052975
97,4036.98,0.92017,0.19178,0.89897,0.87462,0.76548,0.84197,0.51357,1.57002,0.28762,1.1887,0.0005248,0.0005248,0.0005248
98,4371.09,0.91376,0.18961,0.89853,0.87498,0.76603,0.84223,0.5141,1.56962,0.28741,1.18916,0.00051985,0.00051985,0.00051985
