epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,10499.3,0.79907,0.35741,0.92737,0.96987,0.95295,0.96351,0.70262,0.97017,0.36206,1.0526,0.00042085,0.00042085,0.00042085
119,10587.4,0.79507,0.35704,0.92614,0.97096,0.95221,0.96416,0.70223,0.9704,0.36202,1.05305,0.0004159,0.0004159,0.0004159
120,10675.9,0.79396,0.35601,0.92388,0.96922,0.95471,0.96404,0.70254,0.97206,0.36123,1.05364,0.00041095,0.00041095,0.00041095
121,10763.9,0.78937,0.35751,0.92334,0.97056,0.95361,0.96421,0.70223,0.9736,0.36149,1.05458,0.000406,0.000406,0.000406
122,10852.3,0.78774,0.35574,0.92152,0.97168,0.95123,0.96387,0.70236,0.97332,0.35915,1.05576,0.00040105,0.00040105,0.00040105
123,10940.4,0.78274,0.3496,0.92284,0.97175,0.95312,0.96365,0.70286,0.97288,0.35963,1.05561,0.0003961,0.0003961,0.0003961
124,11028.9,0.78659,0.35197,0.92256,0.97078,0.95376,0.96332,0.70229,0.97428,0.35936,1.0558,0.00039115,0.00039115,0.00039115
125,11117,0.77802,0.34939,0.91921,0.9715,0.95342,0.96317,0.70246,0.9747,0.35919,1.05601,0.0003862,0.0003862,0.0003862
126,11205.4,0.77581,0.34772,0.91691,0.97214,0.95237,0.9632,0.70306,0.97376,0.35963,1.05595,0.00038125,0.00038125,0.00038125
127,11294.9,0.77071,0.34386,0.9157,0.97148,0.95336,0.96285,0.70222,0.97463,0.36054,1.05718,0.0003763,0.0003763,0.0003763
128,11383.3,0.77566,0.3464,0.91949,0.9711,0.95249,0.96294,0.70259,0.97489,0.35878,1.05782,0.00037135,0.00037135,0.00037135
129,11471.5,0.77103,0.34418,0.91553,0.97176,0.95279,0.96313,0.70264,0.97517,0.35868,1.05817,0.0003664,0.0003664,0.0003664
130,11559.7,0.76648,0.3443,0.91384,0.9732,0.95141,0.96316,0.70247,0.97508,0.35847,1.05828,0.00036145,0.00036145,0.00036145
131,11648,0.7705,0.34336,0.91703,0.97316,0.95109,0.96319,0.70215,0.97585,0.35916,1.05897,0.0003565,0.0003565,0.0003565
132,11736.5,0.76354,0.34462,0.91376,0.9734,0.95047,0.96312,0.7027,0.97556,0.35868,1.05917,0.00035155,0.00035155,0.00035155
133,11824.7,0.75911,0.33985,0.91387,0.97267,0.95102,0.96343,0.70327,0.97558,0.35777,1.0592,0.0003466,0.0003466,0.0003466
134,11913.8,0.75744,0.33864,0.91311,0.97356,0.95057,0.96346,0.70373,0.97511,0.35786,1.05936,0.00034165,0.00034165,0.00034165
135,12002.9,0.75738,0.34206,0.91279,0.97217,0.95181,0.96399,0.70402,0.97563,0.35929,1.0596,0.0003367,0.0003367,0.0003367
136,12092.1,0.7524,0.33942,0.91383,0.97173,0.95213,0.96397,0.70375,0.97558,0.35891,1.05958,0.00033175,0.00033175,0.00033175
137,12180.2,0.75295,0.33615,0.91034,0.97187,0.95261,0.96403,0.70353,0.97641,0.3596,1.05976,0.0003268,0.0003268,0.0003268
138,12268.8,0.75484,0.33755,0.91239,0.97247,0.95204,0.96399,0.70319,0.97785,0.35905,1.06062,0.00032185,0.00032185,0.00032185
139,12357.1,0.75208,0.33727,0.91004,0.97228,0.95275,0.96399,0.70304,0.97876,0.35908,1.0604,0.0003169,0.0003169,0.0003169
140,12445.8,0.75368,0.33636,0.90906,0.97264,0.95249,0.96367,0.70308,0.9786,0.35837,1.06062,0.00031195,0.00031195,0.00031195
141,12534.3,0.75149,0.33487,0.91073,0.97131,0.95326,0.96359,0.70319,0.97906,0.35878,1.06105,0.000307,0.000307,0.000307
142,12622.9,0.74875,0.33787,0.90978,0.97107,0.95381,0.96361,0.70308,0.97993,0.35848,1.06139,0.00030205,0.00030205,0.00030205
143,12711.3,0.7464,0.33446,0.90792,0.97133,0.95338,0.96346,0.70312,0.97988,0.35841,1.06112,0.0002971,0.0002971,0.0002971
144,12800,0.74273,0.33261,0.90881,0.97153,0.95328,0.96343,0.70322,0.98051,0.35853,1.06143,0.00029215,0.00029215,0.00029215
145,12888.5,0.73273,0.32863,0.90648,0.97113,0.95331,0.96348,0.70289,0.98068,0.35868,1.06179,0.0002872,0.0002872,0.0002872
146,12977.1,0.73068,0.32765,0.90564,0.96974,0.95428,0.96357,0.70289,0.98142,0.35912,1.06261,0.00028225,0.00028225,0.00028225
147,13065.5,0.73557,0.32981,0.90528,0.96944,0.95415,0.96362,0.70299,0.98165,0.35808,1.06312,0.0002773,0.0002773,0.0002773
148,13154.3,0.73073,0.3304,0.90594,0.96901,0.95427,0.9636,0.7029,0.98207,0.3584,1.06377,0.00027235,0.00027235,0.00027235
